id,url,freq,review,name,latitude,longitude
304933,https://www.zomato.com/ncr/cafe-delhi-heights-vasant-kunj-new-delhi,1,"Totally Head over heels for cafe delhi heights..Beautiful nd classy ambience..got to sit on their spacious curtained seater with exclusive lcds attached, which was a fun experience..the complimentary bread basket served along with a herby butter to my surprise was absolutely yumm..The buns were soo succulent and appetizing. We ordered exotic veg treasure for the starter which consiststed of falafel, cottage cheese fingers and stuffed mushrooms along with a side salad and 3 dips. The platter was divine bursting of flavour.. falafel went perfect with the hummus. Also the garlic dip was a great compliment, even better to eat a spoonful :p Only the mini sized mushrooms felt a little...read more",Cafe Delhi Heights,28.5422809991,77.1561636776
4889,https://www.zomato.com/ncr/india-grill-hilton-garden-inn-saket-new-delhi,1,"Have been to the place twice..once for a la carte and next time for the buffet.. my rating solely belongs to the phenomenal buffet experience with desserts being the star. It's a luxurious fine dining place with a very elegantly themed widespread ambience. The seating is extremely comfortable, the service cud get a little faster though. On my first visit we ordered some bharawan paneer starter which was great on portions with a nice blend of dry fruits... dal makhni, paneer and biryani for main course which was average and pinching for the pricing. Also we had a fruit yogurt which made up for the meal, having a beautiful blueberry sauce within. I owe my liking for blueberry to this...read more",India Grill - Hilton Garden Inn,28.5276961282,77.2174545005
305905,https://www.zomato.com/ncr/hard-rock-cafe-dlf-cyber-city-gurgaon,1,"A great place to be.. lively theme and music.. staff is extremely sweet and friendly which will make ur meal super memorable.. tried the jumbo combo..potatoe skins and santa fe spring rolls were simply mind blowing with the dips.. Pasta, nachos and bevarages evrything was nice and generous on portions. Pricing certainly on the higher side but this place is not to be missed.",Hard Rock Cafe,28.4949420354,77.0884804800
18161577,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi,1,"One of the top rated cafes in an area crazily thronged by food. The brilliant reviews about spezia fascinated me to choose the place. It's an elegantly themed bistro having certainly one of the most spacious ambience and bigger tables than other cafes around which seem a little clumsy. We ordered rocky road brownie shake which was presented beautifully lyk that of social's. It was really nice and thick.. corn and mushroom melts were soft and cheesy..cud have been served with a dip..but overall a great appetizer. The veg lasagne was amazing with perfectly balanced tanginess, a good dish to try here. I had heard of white sauce pizza at spezia but is wasn't available that day, still they...read more",Spezia Bistro,28.6948692581,77.2043190524
306001,https://www.zomato.com/ncr/starbucks-coffee-dlf-cyber-city-gurgaon,1,"Starbucks is the first place that strikes ur mind for a rich coffee craving. The moment you enter, the intense coffee aroma soothes ur senses. Java chip and caramel java chip are my all time favourite though I found it a little less on the thickness that distinguishes them this time. Banana chocolate cake is another heavenly bite. One can never have enough of it. Also tried the red velvet cheesecake and cherry chocolate cake this time, beautifully layered and perfect creamy consistency. The red velvet has a subte orange hint that makes it unique with delicious white chocolate shavings. Definitely pricey but thrz smthng about a starbucks coffee that makes you feel happy from within.",Starbucks Coffee,28.4956274135,77.0888087153
307822,https://www.zomato.com/ncr/la-vie-pizzeria-khan-market-new-delhi,1,I had heard a lot about la vie and was keen to visit the place. Some relatives happened to be there who got the food packed and this is how I ended up with la vie. Straight at this point I will write that this place serves one of the best pizza's in delhi. I was mesmerised on the very first bite. It was greek god's pizza having an authentic wood fired crunch and beautiful fresh toppings. It was the best thin crust pizza Iv ever had... Also the banofee jar was another delight topped with crunchy crumble and perfectly layered. More of on the saltier side but there was something divine about it along with a huge quantity. The meal was super memorable and surely deserves a dine in. I was...read more,La Vie Pizzeria,28.6010474246,77.2273300588
18245277,https://www.zomato.com/ncr/instapizza-dlf-cyber-city-gurgaon,1,"Having read soo much about this place I had nvr been tempted to visit any joint lyk that as instapizza. Located on one corner of cyber hub it's a cute little outlet with an outdoor seating too. The staff was extremely polite and friendly. Monster deep dish was the dish I was there for, so ordered that along with garlic bread. 5 for the garlic bread..it was outstanding, buttery and soft. The pizza arrived in about 30 minutes which was an acceptable time for having a pizza of that kind done. Some comics and board games too have been provided to manage your impatience. The pizza was monstrous and looked so appetizing. It was literally overloaded with the toppings with all of them including...read more",Instapizza,28.4942377944,77.0884375647
301397,https://www.zomato.com/ncr/tpot-malviya-nagar-new-delhi,1,"Discovered the place on zomato itself so decided to give it a try. The menu has a decent variety to choose from especially the bevarage section. I ordered spinach and corn pav and white sauce pasta. Both the dishes were simply amazing. The spinach corn pav was perfectly stuffed, cheesy and so soft. A nice dish to try. The pasta was a great one with a beautiful sauce loaded with veggies unlike most pasta's. Only suggestion to add bread along with the pasta to complete the same. The quantity offered makes it value for money. The food came in no time and was steaming hot in a hygienic packaging. Also there was some confusion regarding the bill amount as I had placed order via zomato, but...read more",Tpot,28.5366742099,77.2117722407
18082237,https://www.zomato.com/ncr/the-artful-baker-khan-market-new-delhi,1,"An amazing bakery with a beautiful collection of desserts. All of them are so stunning visually rendering it difficult to make a selection. The sea salt chocolate cupcake is irresistible. A perfect cupcake it is. Red velvet cupcake with the sugary flower and double chocolate chip muffin with the chocolate syringe are other commendable delicacies. Macroons are okayish, not worth the pricing. Monte cristo which is their signature dish offers a plethora of flavours.. it's chocolaty, goey, creamy, bitter sweet, with a hint of dates and sourness. It is a heaven in chocolate disguise. It comes with a special method to dig into it which is told when u order it. I myself dint try the coffee which...read more",The Artful Baker,28.5997719385,77.2266893461
18233599,https://www.zomato.com/ncr/the-chocolate-room-malviya-nagar-new-delhi,1,"Was wanting to try this place since long so dropped in here on an unplanned visit. It's undoubtedly a blissful chocolate heaven. The menu is lavish with an elegant ambience. I ordered a strawberry frappe and melting marshmallow pancake. The frappe was refreshing with a subtle sweet flavour. The pancake was a stand out, beautifully loaded with chocolate drizzle, ice cream and marshmallows and tasted equally divine. The only thing I felt was that 2 mini pancakes felt little less as per the pricing and atleast a stack of 3 wud have been more price worth. Nevertheless, it was an amazing experience and would surely come back to this place for their savoury items and other specialities.",The Chocolate Room,28.5335157679,77.2064983472
